DATA_CONTABILE;importo;natura_controp;CTP_CAPOGRU;ctp_controp;NATURA_RAPPORTO;infragruppo;location;statoctp;maturity
20111130;0.070069;BANCA ESTERA TICKER;100786;100548;DEBITI UNSECURED;0;estero;REGNO UNITO;overnight
20111130;0.140859;BANCA ESTERA TICKER;100786;100558;DEBITI UNSECURED;0;estero;SVEZIA;overnight
20111130;0.035809;BANCA ESTERA TICKER;100786;100561;DEBITI UNSECURED;0;estero;GIAPPONE;overnight
20111130;0.201227;BANCA ESTERA TICKER;100786;100562;DEBITI UNSECURED;0;estero;GERMANIA;overnight
20111130;0.063272;BANCA ESTERA TICKER;100786;100562;DEBITI UNSECURED;0;estero;STATI UNITI D'AMERICA;overnight
20111130;0.111592;BANCA ESTERA TICKER;100789;100546;DEBITI UNSECURED;0;estero;AUSTRIA;overnight
20111130;0.005706;BANCA ESTERA TICKER;100793;100388;DEBITI UNSECURED;0;estero;LUSSEMBURGO;overnight
20111130;111.111548;BANCA ESTERA TICKER;100793;100793;DEBITI UNSECURED;1;estero;LUSSEMBURGO;overnight
20111130;0.066274;BANCA ITALIANA;100001;100097;DEBITI UNSECURED;0;domest;ITALIA;overnight
20111130;3.210313;BANCA ITALIANA;100001;100118;DEBITI UNSECURED;0;domest;ITALIA;longterm
20111130;0.902882;BANCA ITALIANA;100001;100118;DEBITI UNSECURED;0;domest;ITALIA;overnight
20111130;6.137801;BANCA ITALIANA;100001;100123;DEBITI UNSECURED;0;domest;ITALIA;overnight
20111130;10.719449;BANCA ITALIANA;100001;100278;DEBITI UNSECURED;0;domest;ITALIA;overnight
20111130;0.980315;BANCA ITALIANA;100001;100287;DEBITI UNSECURED;0;domest;ITALIA;longterm
20111130;10.501919;BANCA ITALIANA;100001;100309;DEBITI UNSECURED;0;domest;ITALIA;longterm
20111130;0.975555;BANCA ITALIANA;100001;100457;DEBITI UNSECURED;0;domest;ITALIA;overnight
20111130;0.075802;BANCA ITALIANA;100006;100119;DEBITI UNSECURED;0;domest;ITALIA;overnight
20111130;8.702068;BANCA ITALIANA;100032;100097;DEBITI SECURED;0;domest;ITALIA;nonsignif
20111130;17.044528;BANCA ITALIANA;100032;100097;DEBITI UNSECURED;0;domest;ITALIA;nonsignif
20111130;38.746023;BANCA ITALIANA;100032;100097;DEBITI UNSECURED;0;domest;ITALIA;overnight
20111130;0.027865;BANCA ITALIANA;100032;100100;DEBITI UNSECURED;0;domest;ITALIA;overnight
20111130;0.09949;BANCA ITALIANA;100033;100058;DEBITI UNSECURED;0;domest;ITALIA;overnight
20111130;2.901992;BANCA ITALIANA;100033;100097;DEBITI UNSECURED;0;domest;ITALIA;nonsignif
20111130;1.718768;BANCA ITALIANA;100033;100097;DEBITI UNSECURED;0;domest;ITALIA;overnight
20111130;19.1325;BANCA ITALIANA;100033;100118;DEBITI SECURED;0;domest;ITALIA;nonsignif
20111130;0.025643;FILIAZIONE ITALIANA BANCA ESTERA;100738;100144;DEBITI UNSECURED;0;domest;ITALIA;overnight
20111130;0.25108;FILIAZIONE ITALIANA BANCA ESTERA;100754;100144;DEBITI UNSECURED;0;domest;ITALIA;overnight
20111130;1.161982;FILIAZIONE ITALIANA BANCA ESTERA;100755;100144;DEBITI UNSECURED;0;domest;ITALIA;overnight
20111130;40;FILIAZIONE ITALIANA BANCA ESTERA;100755;100151;DEBITI UNSECURED;0;domest;ITALIA;nonsignif
20111130;80;FILIAZIONE ITALIANA BANCA ESTERA;100756;100027;DEBITI UNSECURED;0;domest;ITALIA;nonsignif
20111130;3.691017;FILIAZIONE ITALIANA BANCA ESTERA;100756;100066;DEBITI UNSECURED;0;domest;ITALIA;longterm
20111130;0.036597;FILIAZIONE ITALIANA BANCA ESTERA;100756;100066;DEBITI UNSECURED;0;domest;ITALIA;overnight
20111130;14.905351;FILIAZIONE ITALIANA BANCA ESTERA;100756;100151;DEBITI UNSECURED;0;domest;ITALIA;nonsignif
20111130;100;FILIAZIONE ITALIANA BANCA ESTERA;100756;100377;DEBITI UNSECURED;0;domest;ITALIA;nonsignif
20111130;0.10074;FILIAZIONE ITALIANA BANCA ESTERA;100756;100398;DEBITI UNSECURED;0;domest;ITALIA;overnight
20111130;0.145863;FILIAZIONE ITALIANA BANCA ESTERA;100757;100144;DEBITI UNSECURED;0;domest;ITALIA;overnight
20111130;0.016562;FILIAZIONE ITALIANA BANCA ESTERA;100759;100559;DEBITI UNSECURED;0;domest;ITALIA;overnight
20111130;0.231925;FILIAZIONE ITALIANA BANCA ESTERA;100760;100066;DEBITI UNSECURED;0;domest;ITALIA;overnight
20111130;0.001685;FILIAZIONE ITALIANA BANCA ESTERA;100783;100066;DEBITI UNSECURED;0;domest;ITALIA;longterm
20111130;0.067668;FILIAZIONE ITALIANA BANCA ESTERA;100789;100144;DEBITI UNSECURED;0;domest;ITALIA;overnight
20111130;0.009685;FILIAZIONE ITALIANA BANCA ESTERA;100791;100398;DEBITI UNSECURED;0;domest;ITALIA;overnight
20111130;10.25114;FILIAZIONE ITALIANA BANCA ESTERA;100793;100144;DEBITI UNSECURED;0;domest;ITALIA;overnight
